# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1413393889.70576 0.005248 -0.003478 0.008493 -0.825423 -0.008106 -0.564452 0.002133 0.0014670221 0.0000000500 0.0000031729 0.0014622907 0.0000000236 0.0014641854 0.0071224701 -0.0000000641 -0.0000106201 0.0071282128 0.0000091630 0.0015227396
1413393889.75576 0.006713 -0.004831 0.016897 0.828600 0.010217 0.559742 0.002350 0.0015378179 0.0000000972 0.0000033786 0.0015327769 0.0000000617 0.0015346457 0.0091317171 -0.0000000893 -0.0000165132 0.0091403974 0.0000147739 0.0016113218
1413393889.80576 0.009488 -0.005903 0.029884 0.830255 0.011891 0.557222 0.006248 0.0016135388 0.0000001550 0.0000036037 0.0016082502 0.0000001207 0.0016100973 0.0116460450 -0.0000001152 -0.0000286061 0.0116587898 0.0000207760 0.0017089362
1413393889.85576 0.013715 -0.006398 0.047092 0.831826 0.015160 0.554704 0.011800 0.0016942116 0.0000002507 0.0000038360 0.0016887037 0.0000002248 0.0016905086 0.0147518900 -0.0000001482 -0.0000498496 0.0147701378 0.0000256159 0.0018161777
1413393889.90576 0.019587 -0.005956 0.069082 0.831866 0.019434 0.554345 0.017985 0.0017797913 0.0000003763 0.0000041014 0.0017741198 0.0000003792 0.0017759333 0.0185528342 -0.0000002143 -0.0000842135 0.0185784242 0.0000266158 0.0019337068
1413393889.95576 0.027457 -0.004136 0.095352 0.829531 0.023415 0.557442 0.024258 0.0018702573 0.0000005051 0.0000044224 0.0018644729 0.0000005697 0.0018664357 0.0231542218 -0.0000003767 -0.0001375998 0.0231894582 0.0000194431 0.0020622883
1413393890.00576 0.094539 0.022097 0.124018 0.830980 0.025932 0.554813 0.031339 0.0016310781 -0.0000378745 -0.0003962491 0.0006140571 0.0001116459 0.0005104841 0.0065754114 0.0016632920 -0.0001723365 0.0025576835 -0.0001084880 0.0020268662
1413393890.05576 0.013972 -0.030890 0.160442 0.819731 0.030042 0.571350 0.026401 0.0011140530 0.0000961686 -0.0002247663 0.0002118102 -0.0000120498 0.0003586433 0.0020726436 0.0006208607 0.0000192988 0.0018241609 -0.0001006923 0.0020770525
1413393890.10576 0.027680 -0.015486 0.195237 0.818023 0.026234 0.574027 0.025363 0.0009948907 0.0000040549 -0.0002288238 0.0001276768 -0.0000528225 0.0003173358 0.0017472002 0.0002703476 0.0000615240 0.0014876049 -0.0001105846 0.0022328921
1413393890.15576 0.047022 -0.004763 0.220256 0.815806 0.024023 0.577454 0.020723 0.0009594494 0.0000304669 -0.0002590376 0.0001043103 -0.0000192129 0.0002742700 0.0013632533 0.0000560026 0.0000803008 0.0013830472 -0.0001597300 0.0022521555
1413393890.20576 0.062690 0.007738 0.247793 0.814824 0.017983 0.579249 0.014440 0.0009458949 0.0000272362 -0.0002597971 0.0000876077 -0.0000086750 0.0002134798 0.0013044421 0.0000126956 0.0000648518 0.0013561918 -0.0001428755 0.0019966994
1413393890.25576 0.076227 0.057556 0.268089 0.812777 0.011735 0.582281 0.014297 0.0009005298 0.0000321130 -0.0002997546 0.0000404941 -0.0000042956 0.0001254249 0.0011606813 0.0000120719 0.0000372140 0.0011261006 -0.0000481250 0.0014315151
1413393890.30576 0.087886 0.070508 0.285861 0.812132 0.009033 0.583298 0.011088 0.0009040384 0.0000258925 -0.0002959012 0.0000408882 -0.0000020929 0.0001224511 0.0011619873 0.0000058890 0.0000507781 0.0011251984 -0.0000489520 0.0014429963
1413393890.35576 0.098271 0.083610 0.305870 0.812237 0.007457 0.583218 0.008517 0.0009047848 0.0000205707 -0.0002954662 0.0000381246 -0.0000000409 0.0001218285 0.0011617990 0.0000031976 0.0000637690 0.0011231787 -0.0000453586 0.0014079225
1413393890.40576 0.108953 0.094117 0.313505 0.812206 0.006138 0.583303 0.006393 0.0009047478 0.0000155321 -0.0002959283 0.0000324716 -0.0000003084 0.0001207046 0.0011599778 -0.0000004026 0.0000677519 0.0011197662 -0.0000424008 0.0013542893
1413393890.45576 0.117170 0.108050 0.299899 0.808215 0.003007 0.588872 0.002960 0.0009075177 0.0000119176 -0.0002926445 0.0000241521 0.0000008104 0.0001151493 0.0011598447 0.0000000413 0.0000667088 0.0011172847 -0.0000314063 0.0012893798
1413393890.50576 0.127385 0.120449 0.299701 0.803419 0.001253 0.595412 0.000360 0.0009208914 0.0000032738 -0.0002740983 0.0000204632 0.0000032614 0.0001008957 0.0011594714 0.0000017392 0.0000651205 0.0011154316 -0.0000255935 0.0012598935
1413393890.55576 0.139730 0.128472 0.300176 -0.796794 0.000527 -0.604243 0.002985 0.0009322929 -0.0000024780 -0.0002560001 0.0000174442 0.0000032762 0.0000866887 0.0011561737 0.0000047324 0.0000562687 0.0011103651 -0.0000181783 0.0012168605
1413393890.60576 0.147357 0.138058 0.302828 -0.791329 0.000699 -0.611382 0.003293 0.0009409909 -0.0000047006 -0.0002409887 0.0000160564 0.0000035834 0.0000767875 0.0011518679 0.0000083506 0.0000520272 0.0011083217 -0.0000106844 0.0011980250
1413393890.65576 0.155146 0.151500 0.304037 -0.790481 -0.000039 -0.612484 0.001833 0.0009427189 -0.0000027590 -0.0002383102 0.0000155779 0.0000029237 0.0000752779 0.0011548288 0.0000086503 0.0000549192 0.0011112876 -0.0000101695 0.0011968515
1413393890.70576 0.158544 0.165639 0.300125 -0.793063 0.000309 -0.609140 0.000880 0.0009384187 0.0000006257 -0.0002462886 0.0000155988 0.0000019563 0.0000795091 0.0011595306 0.0000091465 0.0000568601 0.0011130367 -0.0000085173 0.0011993399
1413393890.75576 0.158830 0.177131 0.295619 0.796178 0.000310 0.605062 0.000784 0.0009323113 0.0000022741 -0.0002569089 0.0000141535 0.0000006924 0.0000846017 0.0011566872 0.0000081681 0.0000502047 0.0011127402 -0.0000085053 0.0011815255
