# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1413393889.70576 0.005248 -0.003478 0.008493 -0.825423 -0.008106 -0.564452 0.002133 0.0014690739 0.0000000243 0.0000000021 0.0014692383 0.0000000075 0.0014690719 0.0071363006 0.0000000150 -0.0000107721 0.0071362907 0.0000066059 0.0015247899
1413393889.75576 0.006713 -0.004831 0.016897 0.828600 0.010217 0.559742 0.002350 0.0015399516 0.0000000502 0.0000000083 0.0015402275 0.0000000332 0.0015399495 0.0091499682 0.0000000294 -0.0000165715 0.0091499598 0.0000116179 0.0016138571
1413393889.80576 0.009488 -0.005903 0.029884 0.830255 0.011891 0.557222 0.006248 0.0016157839 0.0000000907 0.0000000224 0.0016162004 0.0000000826 0.0016157872 0.0116704024 0.0000000492 -0.0000284778 0.0116704339 0.0000169660 0.0017120272
1413393889.85576 0.013715 -0.006398 0.047092 0.831826 0.015160 0.554704 0.011800 0.0016965635 0.0000001444 0.0000000479 0.0016971486 0.0000001627 0.0016965860 0.0147839796 0.0000000669 -0.0000494140 0.0147841350 0.0000212812 0.0018199001
1413393889.90576 0.019587 -0.005956 0.069082 0.831866 0.019434 0.554345 0.017985 0.0017822880 0.0000002097 0.0000000907 0.0017830531 0.0000002807 0.0017823591 0.0185949649 0.0000000507 -0.0000834767 0.0185954008 0.0000215609 0.0019381405
1413393889.95576 0.027457 -0.004136 0.095352 0.829531 0.023415 0.557442 0.024258 0.0018729689 0.0000002791 0.0000001588 0.0018738884 0.0000004322 0.0018731400 0.0232097069 -0.0000000654 -0.0001363924 0.0232106917 0.0000139452 0.0020675162
1413393890.00576 0.094711 0.022163 0.124029 0.830999 0.025991 0.554782 0.031334 0.0016334185 -0.0000386302 -0.0003998172 0.0006140947 0.0001117530 0.0005141016 0.0065629034 0.0016670821 -0.0001739175 0.0025595133 -0.0001090942 0.0020311841
1413393890.05576 0.026245 -0.028346 0.161247 0.819761 0.030432 0.571246 0.027284 0.0011223152 0.0001074749 -0.0002591602 0.0001689647 -0.0000147160 0.0003602461 0.0024999692 0.0007841952 0.0000830616 0.0018827060 -0.0000788379 0.0020894352
1413393890.10576 0.038984 -0.013216 0.196029 0.818197 0.026241 0.573710 0.026847 0.0009406980 0.0000304013 -0.0002233266 0.0001272240 -0.0000180809 0.0003572876 0.0022257259 0.0004700763 0.0000952247 0.0015428986 -0.0001236292 0.0022048438
1413393890.15576 0.053087 -0.002746 0.222286 0.815496 0.024992 0.577771 0.022855 0.0009407911 0.0000265243 -0.0002181444 0.0001217293 -0.0000046171 0.0003068089 0.0014553660 0.0001398901 0.0001057979 0.0014452632 -0.0001428121 0.0023045495
1413393890.20576 0.070012 0.012540 0.245097 0.814617 0.020676 0.579362 0.017652 0.0009256649 0.0000252752 -0.0002267551 0.0000998835 0.0000020408 0.0002598768 0.0014018933 0.0000871284 0.0001716444 0.0013947153 -0.0000677207 0.0022433542
1413393890.25576 0.081388 0.056516 0.272261 0.812484 0.014992 0.582638 0.013310 0.0008587833 0.0000404095 -0.0002832268 0.0000412295 -0.0000077275 0.0001223345 0.0011885407 0.0000170899 0.0000654907 0.0011279621 -0.0000350022 0.0016070036
1413393890.30576 0.093541 0.070391 0.290686 0.811866 0.012336 0.583624 0.010236 0.0008597536 0.0000325269 -0.0002799035 0.0000412974 -0.0000053165 0.0001205305 0.0011881025 0.0000166744 0.0000859324 0.0011271461 -0.0000297278 0.0016460937
1413393890.35576 0.104943 0.084915 0.312623 0.811785 0.010889 0.583802 0.007901 0.0008573982 0.0000281761 -0.0002767453 0.0000411060 -0.0000040625 0.0001187115 0.0011888435 0.0000170021 0.0001053125 0.0011256457 -0.0000306626 0.0016571730
1413393890.40576 0.111097 0.094314 0.312301 0.811920 0.008320 0.583686 0.005255 0.0008550262 0.0000215226 -0.0002757344 0.0000355235 -0.0000042322 0.0001172137 0.0011826501 0.0000145926 0.0001047449 0.0011238037 -0.0000274453 0.0015793905
1413393890.45576 0.116718 0.106094 0.294872 0.807952 0.004574 0.589229 0.001442 0.0008564985 0.0000169291 -0.0002721610 0.0000279167 -0.0000032425 0.0001102186 0.0011767998 0.0000155625 0.0000919976 0.0011238371 -0.0000175471 0.0014627546
1413393890.50576 0.125142 0.117947 0.293888 -0.803323 -0.002427 -0.595537 0.001261 0.0008527038 0.0000070546 -0.0002542910 0.0000239849 -0.0000001039 0.0000970337 0.0011728647 0.0000159503 0.0000816892 0.0011248314 -0.0000090526 0.0013876680
1413393890.55576 0.134938 0.125981 0.291749 -0.796963 -0.000171 -0.604012 0.004372 0.0008556028 -0.0000001417 -0.0002333412 0.0000201970 0.0000011443 0.0000808907 0.0011680491 0.0000168899 0.0000721261 0.0011196705 0.0000015745 0.0013175590
1413393890.60576 0.142313 0.136055 0.296779 -0.791963 0.000104 -0.610554 0.004348 0.0008598152 -0.0000020948 -0.0002173368 0.0000175063 0.0000020826 0.0000701574 0.0011623864 0.0000178672 0.0000680385 0.0011170089 0.0000082256 0.0012796513
1413393890.65576 0.149540 0.148018 0.296327 -0.790729 -0.000493 -0.612158 0.003255 0.0008603651 0.0000002517 -0.0002137945 0.0000169441 0.0000015397 0.0000683282 0.0011652160 0.0000173967 0.0000720725 0.0011209036 0.0000110281 0.0012824555
1413393890.70576 0.152250 0.162372 0.293831 -0.793613 0.000269 -0.608419 0.001968 0.0008515031 0.0000022612 -0.0002187441 0.0000168684 0.0000009773 0.0000711385 0.0011679988 0.0000176570 0.0000746393 0.0011235002 0.0000118864 0.0012683440
1413393890.75576 0.152868 0.175664 0.289662 -0.796562 -0.001213 -0.604556 0.000710 0.0008397773 0.0000047837 -0.0002273632 0.0000149505 -0.0000001604 0.0000755169 0.0011632658 0.0000166216 0.0000704617 0.0011250544 0.0000133154 0.0012526971
1413393890.80576 0.153990 0.187250 0.290473 0.800481 0.001697 0.599355 0.000083 0.0008321215 0.0000059702 -0.0002369451 0.0000146438 -0.0000006447 0.0000813971 0.0011665643 0.0000172796 0.0000713218 0.0011292490 0.0000142878 0.0012519757
1413393890.85576 0.157823 0.200471 0.298362 0.804084 0.002935 0.594505 0.002024 0.0008109406 0.0000073267 -0.0002415450 0.0000121287 -0.0000017070 0.0000845244 0.0011531702 0.0000153001 0.0000579967 0.0011235612 0.0000189138 0.0012142355
1413393890.90576 0.159522 0.212087 0.302466 0.806323 0.002787 0.591464 0.002551 0.0008051987 0.0000076692 -0.0002467140 0.0000121692 -0.0000019233 0.0000882359 0.0011558153 0.0000153406 0.0000573946 0.0011269680 0.0000194096 0.0012117429
1413393890.95576 0.162673 0.224474 0.307012 0.807920 0.002996 0.589270 0.004204 0.0008001890 0.0000099455 -0.0002501387 0.0000121569 -0.0000027324 0.0000908720 0.0011556595 0.0000145949 0.0000554205 0.0011292343 0.0000196387 0.0012068814
1413393891.00576 0.164745 0.236964 0.313384 0.809166 0.003216 0.587550 0.004914 0.0007960903 0.0000105171 -0.0002524265 0.0000121906 -0.0000030474 0.0000926936 0.0011572812 0.0000131693 0.0000536128 0.0011317589 0.0000191991 0.0011991203
