# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1413393216.55576 -0.009360 -0.006442 0.001285 -0.801495 -0.008505 -0.597855 0.010097 0.0014667756 0.0000000435 0.0000033312 0.0014622780 0.0000000321 0.0014647395 0.0070842323 -0.0000001423 0.0000242930 0.0070898811 0.0000156893 0.0015228856
1413393216.60576 -0.011181 -0.007792 0.000795 -0.801674 -0.007228 -0.597629 0.010345 0.0015375961 0.0000000317 0.0000035747 0.0015327687 0.0000000226 0.0015354071 0.0090326883 -0.0000002127 0.0000335071 0.0090411211 0.0000220871 0.0016115182
1413393216.65576 -0.012751 -0.009055 0.001135 -0.800995 -0.006964 -0.598556 0.009453 0.0016133950 0.0000000316 0.0000038245 0.0016082591 0.0000000214 0.0016110956 0.0114418329 -0.0000002965 0.0000437269 0.0114540124 0.0000295446 0.0017091609
1413393216.70576 -0.014956 -0.010399 0.002348 -0.800301 -0.007371 -0.599515 0.006804 0.0016941930 0.0000000405 0.0000040747 0.0016887494 0.0000000274 0.0016917866 0.0143871019 -0.0000004137 0.0000584248 0.0144042552 0.0000387588 0.0018164144
1413393216.75576 -0.003709 -0.000495 -0.001407 -0.802769 -0.007076 -0.596245 0.002047 0.0010520652 0.0000086690 -0.0002215699 0.0001034632 0.0000238976 0.0001544933 0.0012476811 0.0000705033 -0.0000527511 0.0013694343 -0.0000904277 0.0013992543
1413393216.80576 -0.005171 -0.004160 0.002162 -0.801915 -0.008162 -0.597383 0.000208 0.0009819184 0.0000102279 -0.0002455000 0.0000528793 0.0000048930 0.0001327658 0.0012275778 0.0000676120 -0.0000848998 0.0012866091 -0.0000916009 0.0013252774
1413393216.85576 -0.006022 -0.002723 0.005704 0.801138 0.009094 0.598402 0.003096 0.0009704500 0.0000139203 -0.0002472133 0.0000455225 0.0000034093 0.0001238872 0.0011986055 0.0000580356 -0.0000607893 0.0012716931 -0.0000784857 0.0012997170
1413393216.90576 -0.009291 -0.009069 0.020460 0.800364 0.010305 0.599411 0.004233 0.0009495199 0.0000204345 -0.0002567382 0.0000376140 0.0000014028 0.0001073238 0.0011685076 0.0000291002 -0.0000272380 0.0012047559 -0.0000269312 0.0012053138
1413393216.95576 -0.009607 -0.007449 0.023899 0.800576 0.011200 0.599079 0.007587 0.0009403996 0.0000246495 -0.0002626186 0.0000322261 -0.0000021327 0.0001032598 0.0011531406 0.0000268520 -0.0000204911 0.0011875448 -0.0000276068 0.0011676415
1413393217.00576 -0.010287 -0.005684 0.028396 0.801347 0.010989 0.598015 0.010010 0.0009334510 0.0000287617 -0.0002676151 0.0000283787 -0.0000043430 0.0000989122 0.0011315777 0.0000283947 -0.0000095623 0.0011581555 -0.0000227527 0.0011206824
1413393217.05576 -0.014043 -0.004959 0.039231 0.802881 0.010732 0.595945 0.010758 0.0009295267 0.0000295096 -0.0002732876 0.0000277556 -0.0000055637 0.0001010131 0.0011231976 0.0000275807 -0.0000060091 0.0011538875 -0.0000193904 0.0011192274
1413393217.10576 -0.010380 0.001810 0.049493 0.802101 0.009506 0.597024 0.010309 0.0009167466 0.0000291642 -0.0002759302 0.0000142067 -0.0000076786 0.0000959490 0.0010484924 0.0000191515 -0.0000083480 0.0010431721 -0.0000050061 0.0010422013
