# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715528.46214 0.004919 -0.002169 -0.001424 0.819713 -0.027586 0.570945 0.036489 0.0014970370 0.0000000002 0.0000000000 0.0014970451 -0.0000000004 0.0014970371 0.0078227497 0.0000000223 -0.0000152767 0.0078227603 0.0000066620 0.0015593739
1403715528.51214 0.006476 -0.001619 0.000297 0.822009 -0.029321 0.567599 0.035682 0.0015700187 0.0000000009 -0.0000000001 0.0015700458 -0.0000000038 0.0015700195 0.0099645393 0.0000000215 -0.0000226709 0.0099645703 0.0000059791 0.0016520088
1403715528.56214 0.008381 -0.000267 0.003981 0.822594 -0.030886 0.566739 0.034512 0.0016479915 0.0000000024 -0.0000000005 0.0016480455 -0.0000000107 0.0016479940 0.0126104135 0.0000000064 -0.0000331078 0.0126104793 0.0000018209 0.0017539623
1403715528.61214 0.011116 0.001510 0.009879 0.821629 -0.032118 0.568093 0.034122 0.0017309608 0.0000000040 -0.0000000011 0.0017310425 -0.0000000214 0.0017309676 0.0158449945 -0.0000000279 -0.0000493357 0.0158451254 -0.0000057565 0.0018658496
1403715528.66214 0.182754 -0.063802 -0.011691 0.829877 -0.005196 0.557802 0.011618 0.0012608884 -0.0001836585 -0.0002976380 0.0002603750 -0.0000399258 0.0002606166 0.0028254342 -0.0005053870 -0.0001716840 0.0013702245 0.0000729159 0.0013754147
1403715528.71214 0.154741 -0.049739 0.009455 0.827110 -0.008504 0.561912 0.008438 0.0012646260 -0.0001512049 -0.0003100816 0.0002099832 -0.0000269047 0.0002184259 0.0027867909 -0.0004922879 -0.0001807225 0.0013721678 0.0000654719 0.0013603384
1403715528.76214 0.172288 -0.052810 0.017516 0.826088 -0.008490 0.563426 0.007636 0.0013014274 -0.0001664633 -0.0003065320 0.0002172814 -0.0000333058 0.0002273458 0.0031310356 -0.0006050804 -0.0002154173 0.0014220657 0.0000753864 0.0013947121
1403715528.81214 0.191087 -0.056146 0.026412 0.825365 -0.007924 0.564497 0.007269 0.0013322180 -0.0001666029 -0.0003078723 0.0002119131 -0.0000345102 0.0002362852 0.0035290104 -0.0007378867 -0.0002431631 0.0014851491 0.0000839187 0.0014290147
1403715528.86214 0.185170 -0.051360 0.040340 0.821885 -0.009229 0.569488 0.010173 0.0012878867 -0.0001140798 -0.0003367450 0.0001649337 -0.0000190094 0.0002253122 0.0036802130 -0.0007794486 -0.0002369568 0.0015207959 0.0000815192 0.0014581686
1403715528.91214 0.201366 -0.053305 0.050314 0.821167 -0.008951 0.570531 0.009919 0.0013201376 -0.0001181561 -0.0003388950 0.0001742345 -0.0000223761 0.0002339790 0.0041278276 -0.0009208347 -0.0002635118 0.0015977507 0.0000886072 0.0015029092
1403715528.96214 0.137241 -0.039522 0.077358 0.815407 -0.012562 0.578628 0.011956 0.0012483986 -0.0000636847 -0.0003801642 0.0001151373 -0.0000145313 0.0002001880 0.0037498013 -0.0008317004 -0.0002166423 0.0015896390 0.0000993211 0.0015039708
1403715529.01214 0.090767 -0.024609 0.092751 0.813441 -0.009695 0.581303 0.017527 0.0011083292 -0.0000112961 -0.0003666916 0.0000704358 -0.0000061844 0.0001766154 0.0029813377 -0.0006225257 -0.0002394228 0.0015189992 0.0001109064 0.0014989116
1403715529.06214 0.087084 -0.020263 0.107000 0.814426 -0.009426 0.579992 0.015188 0.0010143885 0.0000103680 -0.0003474684 0.0000666730 -0.0000113560 0.0001683254 0.0023054288 -0.0004061926 -0.0001869465 0.0014779976 0.0001121795 0.0015156132
