# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1413394886.90576 0.003351 -0.002150 0.000489 -0.802783 -0.012273 -0.595954 0.015079 0.0014692368 -0.0000000003 0.0000000000 0.0014692446 -0.0000000002 0.0014692369 0.0070902944 0.0000000141 -0.0000078276 0.0070902695 0.0000085384 0.0015247885
1413394886.95576 0.003789 -0.002388 -0.000886 -0.804714 -0.011771 -0.593330 0.016000 0.0015402324 -0.0000000005 0.0000000001 0.0015402458 -0.0000000006 0.0015402325 0.0090374318 0.0000000172 -0.0000104097 0.0090373980 0.0000107381 0.0016138412
1413394887.00576 0.003644 -0.002842 -0.001271 -0.804259 -0.011960 -0.593960 0.015376 0.0016162257 -0.0000000004 0.0000000001 0.0016162472 -0.0000000005 0.0016162258 0.0114460171 0.0000000195 -0.0000112968 0.0114459578 0.0000141493 0.0017119689
1413394887.05576 0.003430 -0.003660 -0.001628 -0.806437 -0.012159 -0.591030 0.013984 0.0016972144 0.0000000004 0.0000000002 0.0016972483 0.0000000005 0.0016972146 0.0143835867 0.0000000237 -0.0000116722 0.0143834905 0.0000196216 0.0018197516
1413394887.10576 0.003063 -0.004767 -0.000248 -0.808463 -0.012410 -0.588284 0.012471 0.0017831928 0.0000000031 0.0000000004 0.0017832496 0.0000000025 0.0017831928 0.0179468097 0.0000000294 -0.0000113265 0.0179466608 0.0000275215 0.0019378025
1413394887.15576 0.002190 -0.006150 0.003128 -0.809592 -0.012461 -0.586763 0.010727 0.0018741554 0.0000000101 0.0000000019 0.0018742480 0.0000000098 0.0018741554 0.0222330253 0.0000000327 -0.0000076888 0.0222327943 0.0000385707 0.0020667704
1413394887.20576 0.001073 -0.007631 0.008159 -0.808924 -0.012187 -0.587723 0.008656 0.0019701181 0.0000000205 0.0000000046 0.0019702438 0.0000000187 0.0019701169 0.0273440255 0.0000000311 -0.0000014426 0.0273436884 0.0000522843 0.0022073455
1413394887.25576 -0.000309 -0.008844 0.013872 -0.809061 -0.012625 -0.587558 0.005996 0.0020710854 0.0000000333 0.0000000103 0.0020712335 0.0000000300 0.0020710821 0.0333801919 0.0000000205 0.0000083821 0.0333797267 0.0000666627 0.0023602461
1413394887.30576 -0.001730 -0.009767 0.021017 -0.808054 -0.012849 -0.588957 0.003629 0.0021770470 0.0000000504 0.0000000204 0.0021772144 0.0000000458 0.0021770410 0.0404710293 0.0000000038 0.0000209088 0.0404704112 0.0000810206 0.0025262307
1413394887.35576 -0.003321 -0.010427 0.029595 -0.809224 -0.013279 -0.587349 0.000960 0.0022880017 0.0000000720 0.0000000381 0.0022881807 0.0000000668 0.0022879931 0.0487517018 -0.0000000196 0.0000374563 0.0487508953 0.0000948899 0.0027061004
1413394887.40576 -0.005049 -0.010748 0.041024 0.811154 0.012521 0.584699 0.000324 0.0024039392 0.0000001049 0.0000000594 0.0024041387 0.0000000940 0.0024039224 0.0583942852 -0.0000000477 0.0000586250 0.0583932484 0.0001068500 0.0029006880
1413394887.45576 -0.016834 0.001506 0.067479 0.810816 0.019142 0.584977 0.003713 0.0009370975 0.0000309565 -0.0002965359 0.0000849101 0.0000114388 0.0001207220 0.0012192197 0.0000228538 -0.0000476723 0.0011939529 -0.0000522307 0.0015121960
1413394887.50576 -0.018443 0.002966 0.087194 0.810946 0.019030 0.584792 0.004839 0.0009401413 0.0000334923 -0.0002965342 0.0000943755 0.0000130531 0.0001224432 0.0012190103 0.0000171718 -0.0000251539 0.0012012122 -0.0000472137 0.0015600825
1413394887.55576 -0.020774 0.009694 0.111006 0.812687 0.017710 0.582387 0.007121 0.0009280450 0.0000405830 -0.0002964333 0.0000895473 0.0000104119 0.0001248593 0.0012097692 0.0000296566 -0.0000089188 0.0011788228 -0.0000223476 0.0015498109
1413394887.60576 -0.023714 0.014695 0.133318 0.814485 0.017070 0.579863 0.009050 0.0009213326 0.0000409120 -0.0002997003 0.0000812017 0.0000064670 0.0001275337 0.0012126465 0.0000300681 0.0000133443 0.0011787082 -0.0000312760 0.0014987241
1413394887.65576 -0.027979 0.024741 0.158621 0.817531 0.016588 0.575531 0.011494 0.0009079739 0.0000466397 -0.0003068515 0.0000717398 0.0000012733 0.0001332329 0.0012113362 0.0000420592 0.0000306515 0.0011539049 -0.0000196202 0.0014459877
1413394887.70576 -0.023371 0.031743 0.189965 0.822290 0.016137 0.568718 0.011806 0.0008905233 0.0000502419 -0.0003147216 0.0000589866 -0.0000033654 0.0001372725 0.0012103223 0.0000425180 0.0000300209 0.0011387806 -0.0000059905 0.0013906347
1413394887.75576 -0.023717 0.031314 0.201189 0.824663 0.015493 0.565323 0.010022 0.0008771480 0.0000438635 -0.0003247036 0.0000370167 -0.0000087740 0.0001434584 0.0012034085 0.0000430967 0.0000209767 0.0011306188 -0.0000133786 0.0012952025
1413394887.80576 -0.018546 0.033018 0.219614 0.827707 0.014274 0.560901 0.009321 0.0008631070 0.0000422762 -0.0003323742 0.0000300990 -0.0000113046 0.0001490839 0.0011937094 0.0000385850 0.0000209173 0.0011208507 -0.0000099139 0.0012734355
1413394887.85576 -0.019591 0.027131 0.227619 0.829108 0.016708 0.558778 0.008235 0.0008492100 0.0000422374 -0.0003397280 0.0000234566 -0.0000156478 0.0001532430 0.0011880537 0.0000377043 0.0000142523 0.0011058443 -0.0000166394 0.0012214921
1413394887.90576 -0.013642 0.027562 0.238185 0.831429 0.015098 0.555371 0.007730 0.0008335801 0.0000393101 -0.0003414457 0.0000218357 -0.0000153741 0.0001568348 0.0011831311 0.0000369074 0.0000145129 0.0011023597 -0.0000147838 0.0012134045
1413394887.95576 -0.009159 0.035184 0.248877 0.832365 0.015807 0.553955 0.007240 0.0008234984 0.0000364544 -0.0003408905 0.0000207555 -0.0000148219 0.0001578884 0.0011813316 0.0000359218 0.0000194652 0.0011023601 -0.0000100587 0.0012027908
1413394888.00576 0.000200 0.041370 0.263118 0.832439 0.013850 0.553899 0.007023 0.0008152846 0.0000318613 -0.0003378557 0.0000196802 -0.0000126202 0.0001560096 0.0011706264 0.0000305801 0.0000278750 0.0010879016 -0.0000013406 0.0011959495
1413394888.05576 0.008448 0.034719 0.264565 0.829454 0.015113 0.558354 0.004317 0.0007982325 0.0000252093 -0.0003248357 0.0000141806 -0.0000098615 0.0001457937 0.0011431458 0.0000334641 0.0000044380 0.0010529139 -0.0000021884 0.0011398575
1413394888.10576 0.018048 0.041317 0.276829 0.826474 0.014297 0.562772 0.005010 0.0007972412 0.0000247486 -0.0003144933 0.0000143402 -0.0000093298 0.0001376375 0.0011433727 0.0000329852 0.0000077367 0.0010539185 -0.0000004328 0.0011451163
